SMILES,COc1cccc(F)c1C(=O)N1CCOC(C#N)C1,Druglikeness
Cc1occc1-c1nnc(SC(C)C(=O)NC2CCCCC2)o1,Cc1occc1-c1nnc(SC(C)C(=O)NC2CCCCC2)o1,-1.8377
CN1CCN(C(=O)c2cccc(OCC3CCCO3)c2)C(c2ccccc2)C1,CN1CCN(C(=O)c2cccc(OCC3CCCO3)c2)C(c2ccccc2)C1,4.0403
CN(C)c1ccccc1NC(=O)C1CC2C=CC1C2,CN(C)c1ccccc1NC(=O)C1CC2C=CC1C2,3.5594
O=C(CCC1CCCN(C(=O)N2CCCC2)C1)NCc1ccccc1Cl,O=C(CCC1CCCN(C(=O)N2CCCC2)C1)NCc1ccccc1Cl,4.6168
Cc1ccc(F)c(C[NH+]2CCN(C(C)C(=O)N3CCCC3)CC2)c1,Cc1ccc(F)c(C[NH+]2CCN(C(C)C(=O)N3CCCC3)CC2)c1,3.4775
Cc1cc(C[NH2+]C(C)CC2CCCC[NH2+]2)no1,Cc1cc(C[NH2+]C(C)CC2CCCC[NH2+]2)no1,-4.2618
Cc1sc2ncnc(Oc3ccc(C#N)cc3)c2c1C,Cc1sc2ncnc(Oc3ccc(C#N)cc3)c2c1C,-6.2404
CCC(=O)N1CCC([NH2+]CC(C)c2ccc(C)cc2)CC1,CCC(=O)N1CCC([NH2+]CC(C)c2ccc(C)cc2)CC1,4.171
N#Cc1cccc(S(=O)(=O)N2CCCC2c2ccc3c(c2)OCCO3)c1,N#Cc1cccc(S(=O)(=O)N2CCCC2c2ccc3c(c2)OCCO3)c1,-12.153
O=C(NCc1csc(=O)[nH]1)C1CCCc2sccc21,O=C(NCc1csc(=O)[nH]1)C1CCCc2sccc21,1.9467
Cc1ccc(C(C)NC(=O)c2cc(C[NH+]3CCC(O)CC3)on2)cn1,Cc1ccc(C(C)NC(=O)c2cc(C[NH+]3CCC(O)CC3)on2)cn1,5.9767
Cn1c(=O)c2c(SCc3cccc(Cl)c3)nc(-c3cccs3)nc2n(C)c1=O,Cn1c(=O)c2c(SCc3cccc(Cl)c3)nc(-c3cccs3)nc2n(C)c1=O,2.8544
O=C(CCC(=O)c1cc(Cl)sc1Cl)Nc1nccs1,O=C(CCC(=O)c1cc(Cl)sc1Cl)Nc1nccs1,2.3922
CCOc1ccc(Br)cc1S(=O)(=O)N1CC(C)OC(C)C1,CCOc1ccc(Br)cc1S(=O)(=O)N1CC(C)OC(C)C1,0.25
O=C(NCC1(c2ccccc2)CCC1)C1CCCN(C(=O)Nc2ccccc2)C1,O=C(NCC1(c2ccccc2)CCC1)C1CCCN(C(=O)Nc2ccccc2)C1,5.014
O=C(Nc1cccc(NC(=O)C2CC2)c1)NC1CCCC(C(F)(F)F)C1,O=C(Nc1cccc(NC(=O)C2CC2)c1)NC1CCCC(C(F)(F)F)C1,-6.4065
Cc1cc(NC(=O)C(C)Nc2cccc(OCC(F)(F)F)c2)on1,Cc1cc(NC(=O)C(C)Nc2cccc(OCC(F)(F)F)c2)on1,-2.0849
COc1cc2c(cc1OC)C(c1ccc(C)c(C)c1)C1=C(CCCC1=O)N2,COc1cc2c(cc1OC)C(c1ccc(C)c(C)c1)C1=C(CCCC1=O)N2,-2.5648
COCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCCCCC1,COCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCCCCC1,-4.555
CCC1(c2ccc(NC(=O)c3nc(-c4ccco4)sc3C)cc2)CCC(=O)NC1=O,CCC1(c2ccc(NC(=O)c3nc(-c4ccco4)sc3C)cc2)CCC(=O)NC1=O,6.0616
O=C(NCc1ccccc1F)C1CCCN(c2nn3c(=O)c4c(nc3s2)CCCC4)C1,O=C(NCc1ccccc1F)C1CCCN(c2nn3c(=O)c4c(nc3s2)CCCC4)C1,1.0454
COc1ccccc1C(NC(=O)C(C)Oc1ccccc1)c1ccccn1,COc1ccccc1C(NC(=O)C(C)Oc1ccccc1)c1ccccn1,2.8265
O=C1COc2ccc(C(=O)COc3cc(=O)n4ccccc4n3)cc2N1,O=C1COc2ccc(C(=O)COc3cc(=O)n4ccccc4n3)cc2N1,2.0837
CNC(=O)C(C)Nc1cc(Cl)c(Cl)cc1[N+](=O)[O-],CNC(=O)C(C)Nc1cc(Cl)c(Cl)cc1[N+](=O)[O-],-1.1061
COc1ccc(-c2noc(C[NH+]3CCCC(Cc4[nH+]ccn4C)C3)n2)cc1,COc1ccc(-c2noc(C[NH+]3CCCC(Cc4[nH+]ccn4C)C3)n2)cc1,2.1554
COC(=O)c1ccc(NCC(C)c2nc(-c3ccccc3)no2)nn1,COC(=O)c1ccc(NCC(C)c2nc(-c3ccccc3)no2)nn1,0.5628
CNC(c1cccnc1)C(C)(C)[NH+](C)C,CNC(c1cccnc1)C(C)(C)[NH+](C)C,0.30947
O=C(C1CCN(c2nc3ccccc3s2)CC1)N1CCOCC1C1CC1,O=C(C1CCN(c2nc3ccccc3s2)CC1)N1CCOCC1C1CC1,5.2259
CCc1cccc(NC(=O)c2cc(C)c(C#CCO)s2)c1,CCc1cccc(NC(=O)c2cc(C)c(C#CCO)s2)c1,-1.001
CCCC1C(C)CCCN1C(=O)CCc1ncc(-c2ccccc2)o1,CCCC1C(C)CCCN1C(=O)CCc1ncc(-c2ccccc2)o1,1.6816
Cc1cc(NC(=O)C(=O)N2CC=C(c3ccc(Cl)cc3)CC2)n(C)n1,Cc1cc(NC(=O)C(=O)N2CC=C(c3ccc(Cl)cc3)CC2)n(C)n1,5.7668
Cc1ccccc1-c1ncc(CNC(C)c2cnn(-c3ccccc3)c2C)cn1,Cc1ccccc1-c1ncc(CNC(C)c2cnn(-c3ccccc3)c2C)cn1,6.329
CCN(CC1CCCO1)C(=O)Nc1ccc(F)c(C(=O)N(C)C)c1,CCN(CC1CCCO1)C(=O)Nc1ccc(F)c(C(=O)N(C)C)c1,3.7878
CC(O)C1CCOC2(CCC2)C1,CC(O)C1CCOC2(CCC2)C1,-2.8567
Cc1cc(C(=O)N2CCC(c3nnc(Cn4cccn4)n3C)CC2)cs1,Cc1cc(C(=O)N2CCC(c3nnc(Cn4cccn4)n3C)CC2)cs1,8.2431
CCC[NH+]1CCN(c2ncc3c(n2)CCN(Cc2ccccn2)C3)CC1,CCC[NH+]1CCN(c2ncc3c(n2)CCN(Cc2ccccn2)C3)CC1,1.3875
COc1ccc(F)c(NC2(C[NH3+])CCC(C)C2)c1,COc1ccc(F)c(NC2(C[NH3+])CCC(C)C2)c1,-3.3226
Cc1ccc(CN(C)C(C)Cc2nc3ccccc3s2)o1,Cc1ccc(CN(C)C(C)Cc2nc3ccccc3s2)o1,5.5602
CN(C)c1ccc(C(=O)C=Cc2c(Cl)nc3sccn23)cc1,CN(C)c1ccc(C(=O)C=Cc2c(Cl)nc3sccn23)cc1,3.5558
CCOC1CC(NC(=O)c2cnc(C3CCCO3)s2)C12CCCCC2,CCOC1CC(NC(=O)c2cnc(C3CCCO3)s2)C12CCCCC2,-6.7455
COc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1S(=O)(=O)NC1CCCC1,COc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1S(=O)(=O)NC1CCCC1,2.0129
COc1cc(F)c(C(C)[NH2+]Cc2ccc(-n3ccnc3)nc2)cc1OC,COc1cc(F)c(C(C)[NH2+]Cc2ccc(-n3ccnc3)nc2)cc1OC,-0.30099
C[NH+]1CCN(CCNC(=O)c2cc(Cl)c3c(c2)OCCO3)CC1,C[NH+]1CCN(CCNC(=O)c2cc(Cl)c3c(c2)OCCO3)CC1,-3.3442
CC(NC(=O)c1cc(-c2cccc(O)c2)on1)c1ccccc1,CC(NC(=O)c1cc(-c2cccc(O)c2)on1)c1ccccc1,5.5722
O=C(Cn1c2c(sc1=O)C(c1ccco1)C1C3CCC(C3)C1S2)Nc1ccccc1,O=C(Cn1c2c(sc1=O)C(c1ccco1)C1C3CCC(C3)C1S2)Nc1ccccc1,4.5076
Cc1n[nH]c(C(=O)NC2CCC(C(=O)[O-])C2)n1,Cc1n[nH]c(C(=O)NC2CCC(C(=O)[O-])C2)n1,4.6658
C#CCCN1CCN(c2ccc([N+](=O)[O-])c(OC(C)(C)C)c2)CC1,C#CCCN1CCN(c2ccc([N+](=O)[O-])c(OC(C)(C)C)c2)CC1,-12.472
CC1CCc2c(C(=O)NCc3ccc(CN4CCOCC4)cc3)csc2C1,CC1CCc2c(C(=O)NCc3ccc(CN4CCOCC4)cc3)csc2C1,4.2486
C1CC2CCCN(c3nc(C4CC4)ns3)C2C1,C1CC2CCCN(c3nc(C4CC4)ns3)C2C1,1.0825
Cc1c(C(=O)N(C)Cc2cccc3ncccc23)cnn1-c1nccc(-c2ccccc2F)n1,Cc1c(C(=O)N(C)Cc2cccc3ncccc23)cnn1-c1nccc(-c2ccccc2F)n1,6.1607
O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1,O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1,-5.1656
COCC(O)C[NH+]1CCC(NC(=O)N2CCC(CC(C)C)C2)CC1,COCC(O)C[NH+]1CCC(NC(=O)N2CCC(CC(C)C)C2)CC1,4.6211
CN(CCOc1ccccc1)C(=O)Nc1ccccc1S(C)(=O)=O,CN(CCOc1ccccc1)C(=O)Nc1ccccc1S(C)(=O)=O,4.2396
CNC(=O)c1ccc(C=CC(=O)NCC(OC)c2ccccc2)cc1,CNC(=O)c1ccc(C=CC(=O)NCC(OC)c2ccccc2)cc1,2.4417
Cc1ccc(C)n1C(C)C(=O)NCC(C)c1ccccc1,Cc1ccc(C)n1C(C)C(=O)NCC(C)c1ccccc1,4.9347
CC(CNC(=O)N1CCC(O)(C(F)(F)F)C1)c1ccc(F)c(F)c1,CC(CNC(=O)N1CCC(O)(C(F)(F)F)C1)c1ccc(F)c(F)c1,-5.6399
C[NH+](CCN1CC[NH2+]CC1)C1CSCCC1(C)C,C[NH+](CCN1CC[NH2+]CC1)C1CSCCC1(C)C,0.82266
O=C(Cc1c[nH]c2ccccc12)NCCN1C(=O)CNC1=O,O=C(Cc1c[nH]c2ccccc12)NCCN1C(=O)CNC1=O,5.5265
Cc1cc(C)cc(C2=CC[NH+](CCN3CCCC3=O)CC2)c1,Cc1cc(C)cc(C2=CC[NH+](CCN3CCCC3=O)CC2)c1,3.4083
CC[NH+](CC)Cc1nc(N2CCN(Cc3c(C)[nH+]c4ccc(C)cn34)CC2)c2c(C)c(C)sc2n1,CC[NH+](CC)Cc1nc(N2CCN(Cc3c(C)[nH+]c4ccc(C)cn34)CC2)c2c(C)c(C)sc2n1,3.275
CC([NH2+]CC1C[NH+]2CCN1CC2)c1ccc(-n2cnnn2)cc1,CC([NH2+]CC1C[NH+]2CCN1CC2)c1ccc(-n2cnnn2)cc1,1.7642
CCNC(=O)Nc1ccccc1OC,CCNC(=O)Nc1ccccc1OC,0.87154
COc1cc(C=CC(=O)N2CCCC(c3nn(C)c(=O)n3C(C)C)C2)cc(OC)c1OC,COc1cc(C=CC(=O)N2CCCC(c3nn(C)c(=O)n3C(C)C)C2)cc(OC)c1OC,1.4115
Cc1ccc(Cl)cc1NC(=O)Cn1c(=O)n(CC(C)C)c(=O)c2sccc21,Cc1ccc(Cl)cc1NC(=O)Cn1c(=O)n(CC(C)C)c(=O)c2sccc21,-0.09667
O=C(Oc1ccc2c(c1)OCO2)c1coc(Br)c1,O=C(Oc1ccc2c(c1)OCO2)c1coc(Br)c1,-3.7897
COc1ccc(C2=NN(c3ccccc3)C(=O)C2=C(C)NCc2ccccc2OC)cc1,COc1ccc(C2=NN(c3ccccc3)C(=O)C2=C(C)NCc2ccccc2OC)cc1,5.6404
CC(Cc1ccccc1Cl)NC(=O)c1cccnc1[S-],CC(Cc1ccccc1Cl)NC(=O)c1cccnc1[S-],3.9939
COC(=O)c1cncc(OC2CCCCC2C)n1,COC(=O)c1cncc(OC2CCCCC2C)n1,-7.0122
COc1ccccc1C(C(N)=O)[NH+](C)C,COc1ccccc1C(C(N)=O)[NH+](C)C,0.28171
CC1(C)CCCC(O)(C2(C#N)CCc3ccccc32)CC1,CC1(C)CCCC(O)(C2(C#N)CCc3ccccc32)CC1,-8.1112
Cc1nn(C)cc1C(C)NC(=O)CCSc1ccc2c(c1)OCCO2,Cc1nn(C)cc1C(C)NC(=O)CCSc1ccc2c(c1)OCCO2,-1.4985
COc1cccc(-c2cccc(C(=O)N3CCC4(CCCN(C)C4=O)C3)c2)c1,COc1cccc(-c2cccc(C(=O)N3CCC4(CCCN(C)C4=O)C3)c2)c1,6.301
CC1=CCC2(COC(C)OC2)C(C)C1,CC1=CCC2(COC(C)OC2)C(C)C1,0.69412
CC1CC1NC(=O)C(=O)Nc1cccc(Cl)c1Oc1cccnc1,CC1CC1NC(=O)C(=O)Nc1cccc(Cl)c1Oc1cccnc1,1.6202
CC1CCN(C(=O)c2cn(C)nc2C(C)(C)C)C(C)C1,CC1CCN(C(=O)c2cn(C)nc2C(C)(C)C)C(C)C1,4.5696
CCc1ccccc1N1CC(C(=O)N2CCCC2c2nc3ccccc3s2)CC1=O,CCc1ccccc1N1CC(C(=O)N2CCCC2c2nc3ccccc3s2)CC1=O,5.6385
CCC(NC(=O)NC1c2ccccc2CC1O)c1cccc(Cl)c1,CCC(NC(=O)NC1c2ccccc2CC1O)c1cccc(Cl)c1,1.823
CC(Oc1ccc(Cl)cc1)C(=O)NC1CCC(O)CC1,CC(Oc1ccc(Cl)cc1)C(=O)NC1CCC(O)CC1,2.9286
NC(=O)CCOc1ccc(NC(=O)C2(c3ccccc3)CCOCC2)cc1,NC(=O)CCOc1ccc(NC(=O)C2(c3ccccc3)CCOCC2)cc1,-0.75992
CCCS(=O)(=O)N1CCCc2ccc(NC(=O)Cc3ccc(F)cc3)cc21,CCCS(=O)(=O)N1CCCc2ccc(NC(=O)Cc3ccc(F)cc3)cc21,-1.612
COC(=O)c1cccc(NC(=O)C(=O)N(C)Cc2sccc2C)c1,COC(=O)c1cccc(NC(=O)C(=O)N(C)Cc2sccc2C)c1,2.213
CC1CCN(C(=O)CC2(O)CCCCC2)C2CCCCC12,CC1CCN(C(=O)CC2(O)CCCCC2)C2CCCCC12,0.1468
COc1ccc(-c2[nH+]c(C3CC(=O)N(CC(C)C)C3)[nH]c2C)cc1,COc1ccc(-c2[nH+]c(C3CC(=O)N(CC(C)C)C3)[nH]c2C)cc1,-0.73385
CCc1nnsc1C(=O)N1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,CCc1nnsc1C(=O)N1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,1.3849
O=C(Nc1ccc(-c2nnc(-c3ccco3)o2)cc1)c1ccccc1,O=C(Nc1ccc(-c2nnc(-c3ccco3)o2)cc1)c1ccccc1,1.9876
